46	1	test	None	11	None	13	68.65384674072266	68.65384674072266	68.65384674072266	100.0	7.6923076923076925
46	1	train	None	11	None	13	95.45454406738281	95.45454406738281	95.45454406738281	100.0	72.72727272727273
46	1	test	None	22	None	13	75.38461303710938	75.38461303710938	75.38461303710938	100.0	7.6923076923076925
46	1	train	None	22	None	13	90.6060562133789	90.6060562133789	90.6060562133789	100.0	50.0
46	1	test	None	33	None	13	84.35897064208984	84.35897064208984	84.35897064208984	100.0	7.6923076923076925
46	1	train	None	33	None	13	91.41415405273438	91.41415405273438	91.41415405273438	100.0	48.484848484848484
46	1	test	None	44	None	13	85.89743041992188	85.89743041992188	85.89743041992188	100.0	15.384615384615385
46	1	train	None	44	None	13	91.96968841552734	91.96968841552734	91.96968841552734	100.0	52.27272727272727
46	1	test	None	55	None	13	81.79487609863281	81.79487609863281	81.79487609863281	100.0	15.384615384615385
46	1	train	None	55	None	13	85.81816864013672	85.81816864013672	85.81816864013672	100.0	29.09090909090909
46	1	test	None	66	None	13	85.89743041992188	85.89743041992188	85.89743041992188	100.0	15.384615384615385
46	1	train	None	66	None	13	94.9494857788086	94.9494857788086	94.9494857788086	100.0	69.6969696969697
46	1	test	None	77	None	13	89.74358367919922	89.74358367919922	89.74358367919922	100.0	38.46153846153847
46	1	train	None	77	None	13	93.29002380371094	93.29002380371094	93.29002380371094	100.0	59.74025974025974
46	1	test	None	88	None	13	98.71794891357422	98.71794891357422	98.71794891357422	100.0	92.3076923076923
46	1	train	None	88	None	13	99.81060028076172	99.81060028076172	99.81060028076172	100.0	98.86363636363636
48	1	test	None	11	None	13	79.23077392578125	79.23077392578125	79.23077392578125	100.0	0.0
48	1	train	None	11	None	13	100.0	100.0	100.0	100.0	100.0
48	1	test	None	22	None	13	79.23075866699219	79.23075866699219	79.23077392578125	100.0	0.0
48	1	train	None	22	None	13	96.21212005615234	96.21212005615234	96.21212005615234	100.0	81.81818181818183
48	1	test	None	33	None	13	84.35897064208984	84.35897064208984	84.35897064208984	100.0	7.6923076923076925
48	1	train	None	33	None	13	91.91920471191406	91.91920471191406	91.91920471191406	100.0	51.515151515151516
48	1	test	None	44	None	13	81.79486083984375	81.79486083984375	81.79486846923828	100.0	0.0
48	1	train	None	44	None	13	89.99998474121094	89.99998474121094	89.99998474121094	100.0	40.909090909090914
48	1	test	None	55	None	13	83.07691955566406	83.07691955566406	83.07691955566406	100.0	7.6923076923076925
48	1	train	None	55	None	13	88.60604095458984	88.60604095458984	88.60604095458984	100.0	32.72727272727273
48	1	test	None	66	None	13	84.61538696289062	84.61538696289062	84.61538696289062	100.0	23.076923076923077
48	1	train	None	66	None	13	91.36361694335938	91.36361694335938	91.36361694335938	100.0	50.0
48	1	test	None	77	None	13	92.30769348144531	92.30769348144531	92.30769348144531	100.0	61.53846153846154
48	1	train	None	77	None	13	99.35064697265625	99.35064697265625	99.35064697265625	100.0	96.1038961038961
48	1	test	None	88	None	13	94.61538696289062	94.61538696289062	94.61538696289062	100.0	69.23076923076923
48	1	train	None	88	None	13	99.24241638183594	99.24241638183594	99.24241638183594	100.0	95.45454545454545
50	1	test	None	11	None	13	76.92308044433594	76.92308044433594	76.92308044433594	100.0	7.6923076923076925
50	1	train	None	11	None	13	95.45453643798828	95.45453643798828	95.45453643798828	100.0	72.72727272727273
50	1	test	None	22	None	13	82.05127716064453	82.05127716064453	82.05127716064453	100.0	15.384615384615385
50	1	train	None	22	None	13	95.45454406738281	95.45454406738281	95.45454406738281	100.0	72.72727272727273
50	1	test	None	33	None	13	79.48716735839844	79.48716735839844	79.48716735839844	100.0	7.6923076923076925
50	1	train	None	33	None	13	89.19193267822266	89.19193267822266	89.19193267822266	100.0	42.42424242424242
50	1	test	None	44	None	13	83.33332824707031	83.33332824707031	83.33332824707031	100.0	7.6923076923076925
50	1	train	None	44	None	13	90.45454406738281	90.45454406738281	90.45454406738281	100.0	45.45454545454545
50	1	test	None	55	None	13	87.17948150634766	87.17948150634766	87.17948150634766	100.0	23.076923076923077
50	1	train	None	55	None	13	92.96968841552734	92.96968841552734	92.96968841552734	100.0	58.18181818181818
50	1	test	None	66	None	13	92.30768585205078	92.30768585205078	92.30768585205078	100.0	53.84615384615385
50	1	train	None	66	None	13	98.23231506347656	98.23231506347656	98.23231506347656	100.0	89.39393939393939
50	1	test	None	77	None	13	100.0	100.0	100.0	100.0	100.0
50	1	train	None	77	None	13	99.56710052490234	99.56710052490234	99.56710052490234	100.0	97.40259740259741
50	1	test	None	88	None	13	87.17948150634766	87.17948150634766	87.17948150634766	100.0	23.076923076923077
50	1	train	None	88	None	13	93.18181610107422	93.18181610107422	93.18181610107422	100.0	59.09090909090909
52	1	test	None	11	None	13	74.55128479003906	74.55128479003906	74.55128479003906	100.0	7.6923076923076925
52	1	train	None	11	None	13	90.6060562133789	90.6060562133789	90.6060562133789	100.0	63.63636363636363
52	1	test	None	22	None	13	84.87179565429688	84.87179565429688	84.87179565429688	100.0	23.076923076923077
52	1	train	None	22	None	13	93.63636016845703	93.63636016845703	93.63636016845703	100.0	68.18181818181817
